Servicio,Centro de Atención,Modalidad,Link
Catálogo Bibliográfico,El Ingenio - Biblioteca,"Presencial,Virtual",Biblioteca Yachay Tech - Koha
Reserva o renovación de recursos de biblioteca ,El Ingenio - Biblioteca / Jardín Botánico - Biblioteca,"Presencial,Virtual",Biblioteca Yachay Tech - Koha
Uso de espacios de estudio,El Ingenio - Biblioteca / Bloque de servicios - Salas de estudio,Presencial,
"Seguimiento Académico, laboral y de salud mental","Edificio Senescyt - Planta Baja - Seguimiento Académico, laboral y de Salud Mental","Presencial,Virtual",Sistema de agendamiento  de Citas Psicológicas
Atención médica,Edificio Senescyt - Planta Baja - Centro Médico,"Presencial,Virtual",centromedico@yachaytech.edu.ec
Orientación Vocacional y Profesional,Edificio Senescyt - Planta Baja - Anterior DGTICS,"Presencial,Virtual",Sistema de agendamiento  de Citas Psicológicas
Atención Psicológica,Edificio Senescyt - Planta Baja - Anterior DGTICS,"Presencial,Virtual",Sistema de agendamiento  de Citas Psicológicas
"Uso de
  espacios deportivos y recreativos",Edificio Senescyt - Planta Baja - Gimnasio/ Mutifamiliares Bloque E,"Presencial,Virtual",deportesyachay@yachaytech.edu.ec
Ayudas Económicas,Las Manuelas - Oficina Gestión Trabajo Social,"Presencial,Virtual",https://siu.yachaytech.edu.ec/login trabajosocial@yachaytech.edu.ec
Becas,Las Manuelas - Oficina Gestión Trabajo Social,"Presencial,Virtual",https://siu.yachaytech.edu.ec/login trabajosocial@yachaytech.edu.ec
Gestión de Residencia Universitaria,Edificio Senescyt - Planta Baja  Hall ,"Presencial,Virtual",vidacomunitaria@yachaytech.edu.ec
Servicios de Asesoramiento para Movilidad Estudiantil,Las Manuelas - Dirección de Relaciones Internacionales,"Presencial,Virtual",internacional@yachaytech.edu.ec
Pruebas de Ubicación Inglés,Edificio Senescyt - Tercer piso - Dirección de Idiomas,"Presencial,Virtual",english@yachaytech.edu.ec
Soporte Servicios Académicos ,Edificio Senescyt-Planta Baja-DGSA,"Presencial,Virtual",soporteacademico@yachaytech.edu.ec
Autorización Terceras Matrículas,Edificio Senescyt - Planta Baja - Hall,"Presencial,Virtual",soporteacademico@yachaytech.edu.ec
Retiros de Estudiantes de Carrera de Tercer Nivel de Grado,Edificio Senescyt - Planta Baja - Hall,"Presencial,Virtual",soporteacademico@yachaytech.edu.ec
"Retiros de Estudiantes de Nivelación
    ",Edificio Senescyt - Planta Baja - Hall,"Presencial,Virtual",soporteacademico@yachaytech.edu.ec
Mesa de Ayuda de Servicios Académicos,Edificio Senescyt - Planta Baja - Hall,Virtual,soporteacademico@yachaytech.edu.ec
Matricula Pregrado para estudiantes de nivelación,Edificio Senescyt - Planta Baja - Hall,Virtual,soporteacademico@yachaytech.edu.ec
"Matricula Pregrado para estudiantes que aprueban nivelación y
  van a primer nivel",Edificio Senescyt - Planta Baja - Hall,Virtual,soporteacademico@yachaytech.edu.ec
Matrícula Pregado a partir del segundo nivel,Edificio Senescyt - Planta Baja - Hall,Virtual,soporteacademico@yachaytech.edu.ec
Admisión Pregrado,Edificio Senescyt - Planta Baja - Hall,Virtual,admisiones@yachaytech.edu.ec
Reingresos Pregrado,Edificio Senescyt - Planta Baja - Hall,Virtual,soporteacademico@yachaytech.edu.ec
"Reconocimiento u Homologación 
    de Estudios",Edificio Senescyt - Planta Baja - Hall,Virtual,soporteacademico@yachaytech.edu.ec
"Certificados de requisitos académicos y adminitrativos de
  estudiantes de Posgrado",Hacienda San José - Dirección General de Posgrado,Virtual,posgrados@yachaytech.edu.ec
Admisión Posgrado,Hacienda San José - Dirección General de Posgrado,Virtual,posgrados@yachaytech.edu.ec
Matricula Posgrado,Hacienda San José - Dirección General de Posgrado,Virtual,posgrados@yachaytech.edu.ec
Prácticas Preprofesionales ,Hacienda San José - Dirección de Vinculación con la Sociedad,Virtual,https://yachaytech.edu.ec/vinculacion/
Proyectos de Vinculación,San José - Dirección de Vinculación con la Sociedad,Virtual,https://yachaytech.edu.ec/vinculacion/
Emisión de Certificados estudiantes - ex estudiantes,Las Manuelas- Secretaría General,"Presencial,Virtual",certificaciones@yachaytech.edu.ec
"Emisión de Certificados y copias certificadas de personal
  docente y administrativo ",Las Manuelas- Secretaría General,"Presencial,Virtual",Sistema de gestión documental quipux
Paquetería,Hacienda San José  - Secretaría General,"Presencial,Virtual",paqueteria@yachaytech.edu.ec
Gestión de documentos,Hacienda San José  - Secretaría General,"Presencial,Virtual",https://bpm.yachaytech.edu.ec/cobusbpm/Default.aspx?ReturnUrl=%2fcobusbpm
Recepción de documentos,Hacienda San José  - Secretaría General,Presencial,
Recaudación en ventanilla,Las Manuelas - Dirección General Financiera,Presencial,
